"FOLIO","VIV_SEL","HOGAR","CONSEC","P7_4_2","P7_4_3","P7_5","P7_6","P7_7","P7_8","P7_8A","P7_8B","ENT","TLOC","EST_DIS","UPM_DIS","FACTOR"
"0004143","04","1","1","01","","03","2","1","000010000","1","000002000","16","1","252","0004143",529
"0004163","01","1","1","02","","03","5","2","","2","","16","1","256","0004163",840
"0004163","01","1","2","03","","04","5","2","","2","","16","1","256","0004163",840
"0004206","06","1","1","01","","03","2","2","","2","","16","2","260","0004206",1000
"0004208","10","1","1","01","","04","3","2","","1","000050000","16","2","262","0004208",872
"0004210","04","1","1","01","","06","1","1","000020000","2","","16","2","260","0004210",972
"0004210","14","1","1","02","03","04","3","2","","2","","16","2","260","0004210",972
"0004213","04","1","1","01","","06","1","2","","2","","16","2","261","0004213",847
"0004214","08","1","1","09","","02","3","2","","2","","16","2","260","0004214",536
"0004245","11","1","1","01","","01","3","2","","2","","16","4","268","0004245",1316
"0004291","02","1","1","01","","03","1","2","","2","","16","1","258","0004291",2163
"0004300","04","1","1","01","","05","1","2","","1","999999888","17","1","279","0004300",374
"0004304","03","1","1","01","","05","1","1","000010000","2","","17","1","278","0004304",240
"0004307","03","1","1","02","","06","1","1","000800000","2","","17","1","279","0004307",247
"0004330","05","1","1","01","","10","1","2","","1","000005000","17","1","271","0004330",231
"0004342","02","1","2","01","","03","1","2","","2","","17","1","270","0004342",227
"0004342","02","1","1","01","","03","1","2","","2","","17","1","270","0004342",227
"0004349","01","1","1","03","","99","3","1","999999999","2","","17","1","270","0004349",335
"0004379","03","1","1","01","","04","1","2","","2","","17","1","271","0004379",482
"0004379","03","1","2","01","","02","1","2","","2","","17","1","271","0004379",482
"0004425","05","1","1","02","01","06","2","2","","2","","17","1","271","0004425",320
"0004450","20","1","1","02","","03","3","2","","2","","17","2","281","0004450",460
"0004475","13","1","1","01","","05","3","1","000045000","2","","17","2","281","0004475",458
"0004484","05","1","1","01","","04","1","2","","2","","17","3","280","0004484",374
"0004495","01","1","2","01","","03","3","2","","2","","17","3","275","0004495",337
"0004495","01","1","3","01","","02","3","2","","2","","17","3","275","0004495",337
"0004495","01","1","1","01","","03","3","2","","2","","17","3","275","0004495",337
"0004497","01","1","1","01","","05","1","2","","2","","17","3","275","0004497",363
"0004505","02","1","2","01","","05","1","2","","2","","17","3","285","0004505",208
"0004505","02","1","1","01","","05","1","2","","2","","17","3","285","0004505",208
"0004508","05","1","1","03","","04","1","2","","2","","17","3","276","0004508",231
"0004509","04","1","1","01","","03","3","2","","2","","17","3","283","0004509",672
"0004529","01","1","1","01","","01","5","2","","2","","17","4","287","0004529",467
"0004532","18","1","1","01","","09","1","1","000060000","2","","17","4","287","0004532",951
"0004542","01","1","1","01","","07","1","1","000009000","2","","17","1","279","0004542",121
"0004542","08","1","1","01","","03","2","2","","2","","17","1","279","0004542",121
"0004554","04","1","1","02","","02","1","1","000001000","1","000001000","18","1","288","0004554",189
"0004554","04","1","2","02","","02","1","1","000001000","1","000001000","18","1","288","0004554",189
"0004554","04","1","5","02","","01","1","2","","2","","18","1","288","0004554",189
"0004554","04","1","4","02","","02","1","2","","2","","18","1","288","0004554",189
"0004554","04","1","3","02","","02","1","2","","2","","18","1","288","0004554",189
"0004568","04","1","2","01","","05","1","1","000040000","2","","18","1","289","0004568",140
"0004568","04","1","1","02","","05","1","2","","2","","18","1","289","0004568",140
"0004579","03","1","1","02","","05","1","2","","2","","18","1","288","0004579",166
"0004580","05","1","1","02","01","08","1","1","000050000","2","","18","1","290","0004580",182
"0004580","05","1","2","02","01","03","2","2","","2","","18","1","290","0004580",182
"0004580","05","1","3","02","01","04","1","2","","2","","18","1","290","0004580",182
"0004583","02","1","1","01","","04","1","1","000005000","2","","18","1","290","0004583",195
"0004583","02","1","3","01","","04","1","1","000005000","1","000005000","18","1","290","0004583",195
"0004583","02","1","2","01","","04","1","1","000005000","1","000020000","18","1","290","0004583",195
"0004586","03","1","1","01","","04","1","1","000009000","2","","18","1","289","0004586",167
"0004587","05","1","1","01","","02","1","2","","2","","18","1","289","0004587",199
"0004602","02","1","1","01","","03","1","1","000020000","2","","18","1","288","0004602",215
"0004623","02","1","1","01","","04","1","2","","2","","18","1","289","0004623",189
"0004623","02","1","2","01","","04","3","2","","2","","18","1","289","0004623",189
"0004624","03","1","1","01","","03","1","2","","2","","18","1","289","0004624",170
"0004625","01","1","1","01","","06","1","1","000025000","2","","18","1","289","0004625",173
"0004638","05","1","1","01","","03","2","1","000006000","1","000006000","18","1","290","0004638",183
"0004655","02","1","1","01","","05","1","1","000035000","1","000011000","18","1","289","0004655",156
"0004655","02","1","2","02","","04","3","2","","2","","18","1","289","0004655",156
"0004658","05","1","1","01","","05","1","2","","2","","18","1","290","0004658",165
"0004688","05","1","1","01","","05","3","2","","2","","18","2","292","0004688",346
"0004692","10","1","1","01","","03","1","2","","2","","18","2","293","0004692",148
"0004692","13","1","1","01","","02","1","2","","1","000024000","18","2","293","0004692",148
"0004702","10","1","1","01","","05","5","1","000030000","2","","18","3","295","0004702",209
"0004708","08","1","1","01","","03","1","2","","2","","18","3","295","0004708",210
"0004715","16","1","5","01","","01","1","2","","2","","18","3","296","0004715",185
"0004715","16","1","1","01","","01","1","2","","2","","18","3","296","0004715",185
"0004715","16","1","2","01","","01","3","2","","2","","18","3","296","0004715",185
"0004715","16","1","3","01","","01","3","2","","2","","18","3","296","0004715",185
"0004715","16","1","7","01","","01","1","2","","2","","18","3","296","0004715",185
"0004715","16","1","6","01","","01","1","2","","2","","18","3","296","0004715",185
"0004715","16","1","4","01","","01","3","2","","2","","18","3","296","0004715",185
"0004717","10","1","1","01","","02","1","2","","2","","18","3","295","0004717",175
"0004778","04","1","1","01","","04","3","2","","2","","19","1","300","0004778",744
"0004779","05","1","1","03","","03","1","2","","2","","19","1","300","0004779",755
"0004780","04","1","1","03","","04","1","1","999999999","1","999999999","19","1","300","0004780",713
"0004783","02","1","1","01","","04","3","1","000015000","1","000015000","19","1","301","0004783",786
"0004783","04","1","1","01","02","05","5","2","","2","","19","1","301","0004783",786
"0004785","02","1","1","02","","05","1","2","","1","000003000","19","1","301","0004785",745
"0004785","05","1","1","01","","06","1","2","","2","","19","1","301","0004785",745
"0004797","03","1","1","01","","04","1","2","","2","","19","1","301","0004797",785
"0004808","03","1","1","01","","03","1","2","","2","","19","1","301","0004808",805
"0004820","05","1","1","04","","04","1","2","","2","","19","1","300","0004820",639
"0004867","04","1","1","01","","03","1","2","","2","","19","1","301","0004867",829
"0004902","02","1","1","01","","04","1","2","","2","","19","1","302","0004902",1089
"0004921","03","1","2","02","","02","3","2","","1","000040000","19","1","300","0004921",855
"0004921","03","1","1","03","","02","1","2","","2","","19","1","300","0004921",855
"0005006","03","1","1","01","","05","1","2","","2","","19","1","302","0005006",872
"0005012","01","1","1","02","","02","1","2","","2","","19","1","302","0005012",866
"0005018","03","1","1","03","","02","3","2","","2","","19","1","301","0005018",790
"0005039","04","1","1","01","","01","1","2","","2","","19","1","300","0005039",876
"0005042","04","1","1","03","","04","1","2","","2","","19","1","301","0005042",784
"0005044","05","1","1","01","","04","1","2","","2","","19","1","301","0005044",794
"0005051","05","1","1","01","","02","1","2","","2","","19","1","302","0005051",951
"0005070","07","1","1","01","","03","1","2","","2","","19","2","308","0005070",1010
"0005070","09","1","1","01","","03","4","2","","2","","19","2","308","0005070",1010
"0005071","08","1","2","02","","01","5","2","","2","","19","2","308","0005071",898
"0005071","08","1","1","01","","04","1","1","000015000","2","","19","2","308","0005071",898
"0005083","06","1","1","01","","03","3","2","","2","","19","3","310","0005083",824
"0005089","01","1","1","01","","04","1","2","","2","","19","4","311","0005089",707
"0005104","05","1","1","01","","03","5","2","","2","","19","1","301","0005104",698
"0005105","02","1","2","01","","03","1","2","","2","","19","3","310","0005105",792
"0005105","02","1","1","01","","03","3","1","000060000","2","","19","3","310","0005105",792
"0005105","05","1","1","02","","05","1","2","","2","","19","3","310","0005105",792
"0005123","05","1","1","02","","03","1","1","000200000","2","","20","1","314","0005123",419
"0005129","02","1","1","02","","03","3","2","","2","","20","1","313","0005129",462
"0005163","04","1","1","01","","03","1","2","","2","","20","2","317","0005163",631
"0005178","08","1","1","01","","04","1","1","000040000","1","000010000","20","3","326","0005178",420
"0005184","02","1","1","01","","07","2","1","000020000","1","000008000","20","3","320","0005184",460
"0005186","04","1","1","06","","03","3","2","","2","","20","3","319","0005186",650
"0005198","12","1","1","03","","04","1","1","000050000","1","000020000","20","3","327","0005198",411
"0005203","01","1","1","01","","01","1","2","","2","","20","3","325","0005203",495
"0005242","09","1","1","01","","03","3","2","","2","","20","4","328","0005242",457
"0005265","01","1","1","01","","02","1","2","","2","","20","2","323","0005265",279
"0005290","02","1","1","01","","03","3","2","","2","","21","1","330","0005290",920
"0005317","03","1","1","01","","04","3","2","","2","","21","1","331","0005317",1040
"0005386","05","1","1","02","","05","1","1","000001500","1","000010000","21","1","339","0005386",862
"0005388","12","1","1","02","","02","1","2","","2","","21","2","342","0005388",291
"0005388","12","1","4","02","","02","1","2","","2","","21","2","342","0005388",291
"0005388","12","1","3","02","","02","1","2","","2","","21","2","342","0005388",291
"0005388","12","1","2","02","","02","1","2","","2","","21","2","342","0005388",291
"0005422","18","1","1","01","","05","1","2","","2","","21","2","342","0005422",1279
"0005449","01","1","1","01","","04","1","2","","2","","21","3","344","0005449",1023
"0005456","12","1","1","02","","02","1","2","","2","","21","4","348","0005456",1145
"0005471","01","1","1","02","","04","1","1","000007000","2","","21","4","347","0005471",1093
"0005477","02","2","1","01","","01","1","2","","2","","21","4","348","0005477",946
"0005504","03","1","1","01","","03","1","1","000050000","2","","22","1","350","0005504",244
"0005505","03","1","1","02","","04","1","1","000050000","2","","22","1","350","0005505",266
"0005524","04","1","1","01","","04","1","2","","2","","22","1","349","0005524",193
"0005528","02","1","1","02","","07","1","2","","2","","22","1","349","0005528",202
"0005545","04","1","1","01","","03","1","2","","2","","22","1","351","0005545",412
"0005568","03","1","1","01","","03","1","2","","2","","22","1","350","0005568",309
"0005590","04","1","1","01","","06","1","2","","2","","22","1","350","0005590",282
"0005621","02","1","1","01","","06","2","2","","2","","22","1","351","0005621",540
"0005622","05","1","1","01","02","04","1","2","","2","","22","1","351","0005622",645
"0005640","01","1","1","01","","05","1","2","","2","","22","1","358","0005640",410
"0005640","02","1","1","01","","06","1","2","","2","","22","1","358","0005640",410
"0005653","02","1","1","02","","04","1","2","","2","","22","1","359","0005653",380
"0005661","05","1","1","02","","04","1","2","","2","","22","1","359","0005661",343
"0005688","11","1","1","01","","05","1","2","","2","","22","2","360","0005688",450
"0005688","15","1","1","01","","07","5","2","","2","","22","2","360","0005688",450
"0005688","16","1","1","02","","02","3","2","","2","","22","2","360","0005688",450
"0005688","16","1","2","03","","01","5","2","","2","","22","2","360","0005688",450
"0005703","07","1","1","01","","12","1","2","","2","","22","3","361","0005703",494
"0005703","07","1","2","01","","12","1","9","","2","","22","3","361","0005703",494
"0005703","14","1","1","01","","03","1","2","","2","","22","3","361","0005703",494
"0005703","14","1","2","01","","03","1","2","","2","","22","3","361","0005703",494
"0005709","02","1","1","01","02","03","3","2","","2","","22","3","355","0005709",574
"0005727","01","1","1","03","","02","5","2","","2","","22","4","365","0005727",77
"0005727","01","1","2","06","","03","3","2","","2","","22","4","365","0005727",77
"0005728","12","1","1","01","","03","3","2","","2","","22","4","364","0005728",401
"0005737","09","1","1","02","","04","1","2","","2","","22","4","365","0005737",140
"0005745","02","1","1","01","","03","3","2","","2","","22","3","361","0005745",667
"0005762","02","1","1","01","","03","1","2","","2","","22","1","350","0005762",1057
"0005778","02","1","1","02","","02","1","2","","2","","23","1","373","0005778",304
"0005810","03","1","3","03","","03","1","2","","2","","23","1","368","0005810",174
"0005810","03","1","2","01","","03","1","2","","2","","23","1","368","0005810",174
"0005810","03","1","1","01","","03","1","2","","2","","23","1","368","0005810",174
"0005817","04","1","1","01","","03","1","2","","2","","23","1","368","0005817",272
"0005823","04","1","1","01","","04","1","1","000010000","1","000005000","23","1","367","0005823",236
"0005824","01","1","1","01","02","05","3","2","","2","","23","1","369","0005824",432
"0005824","05","1","11","01","","02","1","2","","2","","23","1","369","0005824",432
"0005824","05","1","10","01","","02","1","2","","2","","23","1","369","0005824",432
"0005824","05","1","9","01","","02","1","2","","2","","23","1","369","0005824",432
"0005824","05","1","8","01","","02","1","2","","2","","23","1","369","0005824",432
"0005824","05","1","7","01","","02","1","2","","2","","23","1","369","0005824",432
"0005824","05","1","6","01","","02","1","2","","2","","23","1","369","0005824",432
"0005824","05","1","3","01","","02","1","2","","2","","23","1","369","0005824",432
"0005824","05","1","4","01","","02","1","2","","2","","23","1","369","0005824",432
"0005824","05","1","5","01","","02","1","2","","2","","23","1","369","0005824",432
"0005824","05","1","2","01","","05","1","2","","2","","23","1","369","0005824",432
"0005824","05","1","1","01","","05","1","2","","2","","23","1","369","0005824",432
"0005841","03","1","1","01","02","05","1","1","000003000","2","","23","1","367","0005841",170
"0005846","01","1","1","02","","02","1","1","999999999","2","","23","1","368","0005846",245
"0005847","03","1","1","02","","02","1","1","000004000","2","","23","1","367","0005847",244
"0005931","03","1","1","02","","02","1","1","000050000","2","","23","1","367","0005931",257
"0005968","03","1","1","01","","03","1","1","000030000","1","000007000","23","1","369","0005968",325
"0006020","03","1","1","02","","07","3","2","","2","","23","1","375","0006020",230
"0006038","09","1","1","01","","03","1","2","","2","","23","2","378","0006038",259
"0006041","19","1","1","01","","01","1","2","","2","","23","2","379","0006041",442
"0006059","06","1","1","02","","03","1","2","","1","000025000","23","4","383","0006059",411
"0006097","02","1","1","02","","04","1","2","","2","","24","1","387","0006097",430
"0006107","04","1","1","02","","02","1","2","","2","","24","1","385","0006107",399
"0006124","02","2","1","01","","04","1","2","","2","","24","1","384","0006124",461
"0006129","01","1","1","01","","03","1","2","","2","","24","1","385","0006129",502
"0006129","05","1","1","01","","04","3","2","","2","","24","1","385","0006129",502
"0006129","05","1","2","03","","05","3","2","","2","","24","1","385","0006129",502
"0006147","02","1","1","01","","02","5","2","","2","","24","1","384","0006147",422
"0006152","05","1","1","01","","04","1","2","","2","","24","1","386","0006152",502
"0006155","04","1","4","01","","02","1","2","","2","","24","1","385","0006155",525
"0006155","04","1","3","01","","06","1","2","","2","","24","1","385","0006155",525
"0006155","04","1","2","01","","08","1","2","","2","","24","1","385","0006155",525
"0006155","04","1","1","01","","03","1","1","000600000","2","","24","1","385","0006155",525
"0006155","04","1","5","01","","07","5","2","","2","","24","1","385","0006155",525
"0006159","01","1","1","01","","05","1","2","","2","","24","1","385","0006159",423
"0006177","04","1","1","02","","05","1","2","","2","","24","1","385","0006177",477
"0006180","03","1","1","02","","03","1","2","","2","","24","1","385","0006180",492
"0006218","04","1","1","01","","04","3","2","","2","","24","1","386","0006218",545
"0006244","02","1","1","01","","05","1","2","","2","","24","1","384","0006244",640
"0006257","05","1","1","01","","02","1","2","","2","","24","2","390","0006257",505
"0006266","10","1","1","01","","04","3","1","000100000","1","000100000","24","3","393","0006266",334
"0006278","13","1","1","01","","04","1","2","","2","","24","4","395","0006278",369
"0006283","09","1","1","01","","02","2","2","","2","","24","4","395","0006283",422
"0006284","01","1","1","01","","07","1","2","","2","","24","4","395","0006284",389
"0006291","05","1","1","01","","02","1","1","000030000","1","000020000","24","4","395","0006291",459
"0006291","05","1","2","01","","01","1","2","","1","000020000","24","4","395","0006291",459
"0006345","02","1","1","01","","02","1","2","","2","","25","1","404","0006345",635
"0006360","03","1","1","01","","05","2","2","","2","","25","1","405","0006360",400
"0006369","04","1","1","02","","04","1","2","","2","","25","1","398","0006369",480
"0006396","04","1","1","01","","04","1","2","","2","","25","1","397","0006396",557
"0006455","03","1","1","02","","03","1","2","","2","","25","1","398","0006455",519
"0006473","01","1","1","01","","07","3","2","","2","","25","1","400","0006473",558
"0006474","04","1","1","01","","06","1","2","","2","","25","1","401","0006474",319
"0006491","01","1","1","02","","03","3","2","","2","","25","1","401","0006491",456
"0006500","03","1","1","02","","02","3","2","","2","","25","1","402","0006500",650
"0006515","01","1","1","01","","02","1","2","","2","","25","1","402","0006515",449
"0006521","05","1","1","01","","05","2","2","","1","000010000","25","2","409","0006521",268
"0006521","20","1","3","02","01","05","1","2","","2","","25","2","409","0006521",268
"0006521","20","1","1","02","01","04","1","2","","2","","25","2","409","0006521",268
"0006521","20","1","2","02","01","05","1","2","","2","","25","2","409","0006521",268
"0006534","02","1","1","01","","07","1","2","","2","","25","3","410","0006534",435
"0006624","03","1","1","03","","05","1","2","","2","","26","1","420","0006624",497
"0006642","04","1","1","01","","03","1","1","000650000","1","000050000","26","1","428","0006642",737
"0006642","05","1","1","02","","04","1","2","","1","999999999","26","1","428","0006642",737
"0006658","04","1","1","02","","03","3","1","000005000","2","","26","1","416","0006658",373
"0006698","01","1","1","01","02","05","3","2","","1","000250000","26","1","416","0006698",474
"0006698","01","1","2","01","02","07","1","1","000015000","1","000015000","26","1","416","0006698",474
"0006701","05","1","1","03","","03","1","2","","2","","26","1","417","0006701",457
"0006715","04","1","1","02","","05","1","2","","2","","26","1","416","0006715",391
"0006823","12","1","1","01","","03","1","1","000015000","1","000005000","26","2","433","0006823",628
"0006825","18","1","1","01","","03","3","2","","2","","26","2","432","0006825",695
"0006827","13","1","1","02","","03","1","2","","2","","26","2","435","0006827",599
"0006828","10","1","2","02","","01","1","1","000002500","2","","26","2","434","0006828",441
"0006828","10","1","1","02","","01","1","1","000002500","2","","26","2","434","0006828",441
"0006828","10","1","3","02","","01","1","1","000002500","2","","26","2","434","0006828",441
"0006859","05","1","1","01","","03","1","2","","2","","26","1","419","0006859",420
"0006865","01","1","1","01","","06","1","2","","2","","26","1","416","0006865",296
"0006887","05","1","4","03","","02","1","2","","2","","27","1","441","0006887",401
"0006887","05","1","5","01","","03","1","2","","2","","27","1","441","0006887",401
"0006887","05","1","3","03","","02","3","2","","2","","27","1","441","0006887",401
"0006887","05","1","2","03","","03","3","1","000025000","2","","27","1","441","0006887",401
"0006887","05","1","1","03","","02","1","2","","2","","27","1","441","0006887",401
"0006891","04","1","2","02","","03","1","2","","2","","27","1","442","0006891",417
"0006891","04","1","1","02","","03","1","2","","2","","27","1","442","0006891",417
"0006891","04","1","3","02","","03","1","2","","2","","27","1","442","0006891",417
"0006902","05","1","1","02","","03","3","2","","2","","27","1","440","0006902",298
"0006906","04","1","1","01","","06","1","1","000090000","1","000010000","27","1","442","0006906",396
"0006955","09","1","1","01","","02","1","2","","2","","27","2","445","0006955",373
"0006963","03","1","1","02","","04","1","2","","2","","27","3","449","0006963",277
"0007027","05","1","1","01","","04","3","2","","2","","27","3","447","0007027",882
"0007031","04","1","1","04","","03","3","2","","2","","27","3","447","0007031",65
"0007038","01","1","1","02","","04","1","2","","2","","27","3","447","0007038",1214
"0007144","03","1","1","01","","05","1","2","","2","","28","1","464","0007144",567
"0007144","03","1","2","01","","04","1","2","","2","","28","1","464","0007144",567
"0007154","05","1","1","01","","05","1","2","","2","","28","1","465","0007154",554
"0007155","04","1","1","01","","02","1","2","","2","","28","1","465","0007155",514
"0007180","05","1","1","01","","07","2","2","","2","","28","1","459","0007180",384
"0007182","05","1","1","01","","08","1","2","","2","","28","1","458","0007182",630
"0007190","01","1","1","02","","03","3","2","","2","","28","1","459","0007190",740
"0007283","05","1","1","01","","10","1","2","","2","","28","1","469","0007283",610
"0007383","13","1","1","02","","03","1","2","","2","","29","2","485","0007383",223
"0007538","03","1","1","01","","02","2","1","999999999","2","","29","3","482","0007538",163
"0007615","01","1","1","01","","06","1","1","000006000","2","","29","4","490","0007615",236
"0007623","09","1","1","02","","04","3","2","","2","","29","4","490","0007623",182
"0007643","04","1","1","01","","04","3","2","","2","","30","1","491","0007643",1107
"0007689","04","1","1","02","","04","1","2","","2","","30","1","495","0007689",1846
"0007691","01","1","1","01","","03","1","2","","2","","30","1","513","0007691",1737
"0007694","01","1","1","03","","02","1","2","","2","","30","1","513","0007694",1171
"0007729","05","1","1","03","","04","1","2","","2","","30","1","493","0007729",1287
"0007729","05","1","2","03","","02","1","2","","2","","30","1","493","0007729",1287
"0007776","08","1","1","01","","04","1","2","","2","","30","3","523","0007776",1501
"0007776","08","1","2","01","","04","3","2","","2","","30","3","523","0007776",1501
"0007797","07","1","1","02","01","01","1","2","","2","","30","3","522","0007797",1406
"0007898","03","1","1","01","","03","1","2","","2","","31","1","529","0007898",351
"0007919","05","1","2","01","","02","3","2","","2","","31","1","527","0007919",326
"0007919","05","1","1","01","","03","5","1","999999999","2","","31","1","527","0007919",326
"0007938","01","1","1","02","","03","1","2","","2","","31","1","529","0007938",367
"0007948","01","1","1","06","","02","1","1","000006000","2","","31","1","527","0007948",354
"0007983","05","1","3","01","02","04","1","2","","1","000020000","31","1","529","0007983",438
"0007983","05","1","4","02","01","04","1","2","","1","000005000","31","1","529","0007983",438
"0007983","05","1","1","02","","04","1","1","000040000","1","000020000","31","1","529","0007983",438
"0007983","05","1","2","02","","12","1","1","000030000","2","","31","1","529","0007983",438
"0007993","03","1","1","01","","07","1","2","","2","","31","1","529","0007993",359
"0007996","03","1","1","01","","03","1","2","","1","000040000","31","1","529","0007996",494
"0007996","03","1","3","02","","02","1","2","","2","","31","1","529","0007996",494
"0007996","03","1","2","02","","02","1","2","","2","","31","1","529","0007996",494
"0007996","03","1","4","02","","03","1","2","","2","","31","1","529","0007996",494
"0008022","04","1","1","01","","02","3","1","000005000","2","","31","2","531","0008022",266
"0008033","13","1","1","02","","03","1","2","","2","","31","2","535","0008033",352
"0008036","01","1","1","02","","04","1","2","","2","","31","2","531","0008036",391
"0008046","01","1","1","02","","03","1","2","","2","","31","2","531","0008046",484
"0008062","07","1","1","02","","03","1","2","","9","","31","3","537","0008062",405
"0008063","03","1","1","03","","04","5","2","","2","","31","3","536","0008063",133
"0008078","15","1","1","01","","01","5","1","000015000","2","","31","3","539","0008078",667
"0008078","18","1","1","01","","03","3","2","","2","","31","3","539","0008078",667
"0008094","06","1","1","02","","04","1","1","000015000","2","","31","4","540","0008094",134
"0008104","01","1","1","01","","07","1","2","","2","","31","1","528","0008104",329
"0008104","04","1","1","02","01","04","5","1","000022000","2","","31","1","528","0008104",329
"0008104","04","1","2","01","","03","1","2","","2","","31","1","528","0008104",329
"0008119","01","1","1","01","","07","1","2","","2","","32","1","545","0008119",282
"0008145","02","1","1","01","","05","1","2","","2","","32","1","544","0008145",254
"0008146","03","1","1","01","","07","1","2","","1","000102000","32","1","544","0008146",216
"0008147","05","1","1","01","02","07","1","1","000060000","2","","32","1","542","0008147",294
"0008153","01","1","1","01","","07","1","2","","2","","32","1","543","0008153",222
"0008158","04","1","1","01","","03","1","1","000060000","1","000005000","32","1","544","0008158",383
"0008158","05","1","1","01","","04","1","1","000030000","2","","32","1","544","0008158",383
"0008161","05","1","1","03","","05","1","2","","2","","32","1","544","0008161",336
"0008161","05","1","2","03","","05","1","2","","2","","32","1","544","0008161",336
"0008183","02","1","1","01","","05","1","2","","2","","32","1","543","0008183",214
"0008186","04","1","1","03","","02","1","2","","2","","32","1","543","0008186",243
"0008196","05","1","1","01","","04","1","2","","2","","32","1","543","0008196",383
"0008203","04","1","1","01","","04","1","2","","2","","32","1","544","0008203",289
"0008223","18","1","1","02","","04","3","2","","2","","32","2","548","0008223",335
"0008230","14","1","1","01","","05","2","1","000100000","2","","32","3","549","0008230",249
"0008232","11","1","1","02","","03","1","1","999999999","2","","32","3","550","0008232",264
"0008237","02","1","1","01","","05","1","2","","2","","32","3","549","0008237",345
"0008242","18","1","1","02","01","12","5","1","001000000","2","","32","3","549","0008242",181
"0008243","02","1","1","02","","03","1","2","","2","","32","3","549","0008243",240
"0008254","18","1","1","02","","05","1","2","","2","","32","4","551","0008254",291
"0008257","20","1","1","02","","02","1","2","","2","","32","4","551","0008257",249
"0008281","06","1","1","04","","09","1","2","","2","","32","4","552","0008281",231
"0008281","07","1","1","01","02","04","3","2","","2","","32","4","552","0008281",231
"0008298","01","1","1","01","","06","1","2","","2","","32","1","543","0008298",418
